nombre,categoria,precio
Filetes de caballa en aceite de oliva Albo 85g,caballa,2.85
Filetes de caballa en aceite de oliva virgen Albo 85g,caballa,2.85
Filetes de pechuga de pollo extratiernos Golden Gourmet 500g aprox,pollo,3.82
Film transparente Lanta 80m,"aceite-de-girasol, aceite-de-oliva, aceite-de-oliva-virgen-y-virgen-extra, aceite-vinagre-y-sal, aceites, aceitunas-alinadas, aceitunas-negras, aceitunas-rellenas, aceitunas-verdes---manzanilla, aceitunas-y-encurtidos, ajo-perejil-y-oregano, albondigas, alimentacion-saludable, alubias-y-fabada-cocidas, aperitivos-y-frutos-secos, arroces-pastas-y-legumbres, arroz, arroz-pasta-noodles, arroz-precocinado, atun-en-aceite-de-oliva, atun-en-aceite-girasol, atun-en-escabeche, atun-natural, azafran-y-pimenton, azucar-blanco, azucar-moreno-y-de-cana, azucar-y-edulcorantes, barritas-de-cereales, berberechos-navajas-y-zamburinas, berlinas-de-chocolate-y-glaseadas, bizcochos-1, bizcochos-2, bolleria-de-horno, bolleria-infantil, bolleria-y-reposteria, bonito-en-aceite, bonito-en-escabeche, bonito-y-ventresca, brioche-y-pan-de-leche, cacao, cacao-cafes-e-infusiones, cacao-en-polvo, cafe-descafeinado, cafe-en-grano, cafe-molido, cafe-soluble-y-otras-bebidas, cafes, caldo-de-pescado, caldo-de-pollo-y-carne, caldo-de-verdura, caldo-para-paella-y-fideua, caldos-pures-y-sopas, capsulas-de-cafe, caramelo-liquido, cereales, cereales-con-chocolate, cereales-con-miel, cereales-corn-flakes, cereales-infantiles, cereales-integrales-avena-y-muesli, cereales-sin-azucar, cereales-sin-gluten, champinones-y-setas, chicles, chocolate-a-la-taza, chocolate-blanco, chocolate-con-frutos-secos, chocolate-con-leche, chocolate-negro, chocolates-golosinas-y-turrones, comida-internacional, compota-y-macedonia, conservas-de-frutas, conservas-de-pescado, conservas-vegetales, control-de-peso, cremas-de-cacao-y-cacahuete, cremas-y-pures, cremas-y-pures-de-verdura, decoracion-para-reposteria, ensaimadas-napolitanas-y-rosquillas, espaguetis-y-pasta-larga, especialidades-quinoa-chia-y-semillas, fideos-y-pasta-para-sopas, fruta-en-almibar, frutos-secos, galletas, galletas-cereales-y-barritas, galletas-de-avena-e-integrales, galletas-de-mantequilla, galletas-infantiles, galletas-maria, galletas-rellenas, galletas-saladas, galletas-sin-azucar, galletas-sin-gluten, galletas-tostadas, garbanzos-cocidos, gazpacho-y-salmorejo, golosinas-sin-azucar, golosinas-y-regaliz, grano-largo, grano-redondo, harina-de-maiz, harina-de-trigo, harina-ecologica, harina-integral, harina-levadura-y-preparados, harina-para-reposteria, harina-sin-gluten, harinas-especiales, infusiones-digestivas, infusiones-funcionales, judias-verdes, lasana-y-pasta-laminada, lentejas-cocidas, levadura-y-polvo-para-hornear, macarrones-y-pasta-corta, maiz---kikos, maiz-guisantes-y-zanahoria, mate-y-tila, mejillones-en-escabeche, membrillo-cabello-de-angel-y-polen, menta-poleo, mermelada, mermelada-de-fresa, mermelada-de-melocoton, mermelada-de-naranja, mermelada-sin-azucar, mezclas-y-menestra, miel-milflores, miel-y-mermeladas, noodles-preparados, nutricion-deportiva, otras-conservas-de-pescado, otras-especias-y-sazonadores, otras-mermeladas, otras-mieles, otras-salsas, otras-verduras, otros-aceites, otros-aderezos, otros-encurtidos, otros-frutos-secos, otros-ingredientes-para-reposteria, otros-platos-preparados-de-carne, otros-sabores, palitos-de-pan, palmeras-y-hojaldres, pan-de-baguette, pan-de-hogaza, pan-de-horno, pan-de-molde, pan-de-molde-artesano-y-rustico, pan-de-molde-blanco, pan-de-molde-integral, pan-de-molde-multicereales-y-semillas, pan-de-picos-y-colines, pan-hamburguesa-tortillas-wrap-y-pan-de-perritos, pan-precocinado, pan-rallado, pan-tostado, pan-tostado-y-biscotes, pasta-al-huevo-y-nidos, pasta-ecologica, pasta-fresca-y-rellena, pasta-integral-y-sin-gluten, pasta-vegetal-y-especiales, pastillas-para-caldo, patatas-fritas, pizzas-y-masas, platos-preparados, platos-preparados-de-arroz, platos-preparados-de-pasta, productos-dieteticos, productos-ecologicos, pure-de-patata, roscones-y-troncos, sacarina-stevia-y-otros-edulcorantes, sal-de-frutas-y-bicarbonato, salsas-barbacoa-y-para-carne, salsas-para-ensalada, salsas-para-pasta, salsas-picantes, sandwich-wraps-y-roscas, sardinas-en-aceite, sardinas-en-escabeche, sardinas-en-tomate, semola-y-almorta, sobaos-tortas-y-gofres, sopa-de-verdura, sopas-de-aves-y-carne, sopas-y-caldos, surtidos-y-especialidad, te-y-roiboos, tomate-entero-y-troceado, tomate-frito, tomate-frito-salsas-y-especias, tomate-natural-triturado, tortillas-de-patata-bravas-y-croquetas, ver-todo, vinagre-balsamico, vinagre-de-manzana, vinagre-de-vino-y-de-jerez, vinagres",1.5
Flan Potax 192g 6 sobres vainilla 24 flanes,tartas,1.75
Flan Royal 186g vainilla,tartas,1.8
Floretes de brócoli 400g,"aceite-de-girasol, aceite-de-oliva, aceite-de-oliva-virgen-y-virgen-extra, aceite-vinagre-y-sal, aceites, aceitunas-alinadas, aceitunas-negras, aceitunas-rellenas, aceitunas-verdes---manzanilla, aceitunas-y-encurtidos, ajo-perejil-y-oregano, albondigas, alimentacion-saludable, alubias-y-fabada-cocidas, aperitivos-y-frutos-secos, arroces-pastas-y-legumbres, arroz, arroz-pasta-noodles, arroz-precocinado, atun-en-aceite-de-oliva, atun-en-aceite-girasol, atun-en-escabeche, atun-natural, azafran-y-pimenton, azucar-blanco, azucar-moreno-y-de-cana, azucar-y-edulcorantes, barritas-de-cereales, berberechos-navajas-y-zamburinas, berlinas-de-chocolate-y-glaseadas, bizcochos-1, bizcochos-2, bolleria-de-horno, bolleria-infantil, bolleria-y-reposteria, bonito-en-aceite, bonito-en-escabeche, bonito-y-ventresca, brioche-y-pan-de-leche, cacao, cacao-cafes-e-infusiones, cacao-en-polvo, cafe-descafeinado, cafe-en-grano, cafe-molido, cafe-soluble-y-otras-bebidas, cafes, caldo-de-pescado, caldo-de-pollo-y-carne, caldo-de-verdura, caldo-para-paella-y-fideua, caldos-pures-y-sopas, capsulas-de-cafe, caramelo-liquido, cereales, cereales-con-chocolate, cereales-con-miel, cereales-corn-flakes, cereales-infantiles, cereales-integrales-avena-y-muesli, cereales-sin-azucar, cereales-sin-gluten, champinones-y-setas, chicles, chocolate-a-la-taza, chocolate-blanco, chocolate-con-frutos-secos, chocolate-con-leche, chocolate-negro, chocolates-golosinas-y-turrones, comida-internacional, compota-y-macedonia, conservas-de-frutas, conservas-de-pescado, conservas-vegetales, control-de-peso, cremas-de-cacao-y-cacahuete, cremas-y-pures, cremas-y-pures-de-verdura, decoracion-para-reposteria, ensaimadas-napolitanas-y-rosquillas, espaguetis-y-pasta-larga, especialidades-quinoa-chia-y-semillas, fideos-y-pasta-para-sopas, fruta-en-almibar, frutos-secos, galletas, galletas-cereales-y-barritas, galletas-de-avena-e-integrales, galletas-de-mantequilla, galletas-infantiles, galletas-maria, galletas-rellenas, galletas-saladas, galletas-sin-azucar, galletas-sin-gluten, galletas-tostadas, garbanzos-cocidos, gazpacho-y-salmorejo, golosinas-sin-azucar, golosinas-y-regaliz, grano-largo, grano-redondo, harina-de-maiz, harina-de-trigo, harina-ecologica, harina-integral, harina-levadura-y-preparados, harina-para-reposteria, harina-sin-gluten, harinas-especiales, infusiones-digestivas, infusiones-funcionales, judias-verdes, lasana-y-pasta-laminada, lentejas-cocidas, levadura-y-polvo-para-hornear, macarrones-y-pasta-corta, maiz---kikos, maiz-guisantes-y-zanahoria, mate-y-tila, mejillones-en-escabeche, membrillo-cabello-de-angel-y-polen, menta-poleo, mermelada, mermelada-de-fresa, mermelada-de-melocoton, mermelada-de-naranja, mermelada-sin-azucar, mezclas-y-menestra, miel-milflores, miel-y-mermeladas, noodles-preparados, nutricion-deportiva, otras-conservas-de-pescado, otras-especias-y-sazonadores, otras-mermeladas, otras-mieles, otras-salsas, otras-verduras, otros-aceites, otros-aderezos, otros-encurtidos, otros-frutos-secos, otros-ingredientes-para-reposteria, otros-platos-preparados-de-carne, otros-sabores, palitos-de-pan, palmeras-y-hojaldres, pan-de-baguette, pan-de-hogaza, pan-de-horno, pan-de-molde, pan-de-molde-artesano-y-rustico, pan-de-molde-blanco, pan-de-molde-integral, pan-de-molde-multicereales-y-semillas, pan-de-picos-y-colines, pan-hamburguesa-tortillas-wrap-y-pan-de-perritos, pan-precocinado, pan-rallado, pan-tostado, pan-tostado-y-biscotes, pasta-al-huevo-y-nidos, pasta-ecologica, pasta-fresca-y-rellena, pasta-integral-y-sin-gluten, pasta-vegetal-y-especiales, pastillas-para-caldo, patatas-fritas, pizzas-y-masas, platos-preparados, platos-preparados-de-arroz, platos-preparados-de-pasta, productos-dieteticos, productos-ecologicos, pure-de-patata, roscones-y-troncos, sacarina-stevia-y-otros-edulcorantes, sal-de-frutas-y-bicarbonato, salsas-barbacoa-y-para-carne, salsas-para-ensalada, salsas-para-pasta, salsas-picantes, sandwich-wraps-y-roscas, sardinas-en-aceite, sardinas-en-escabeche, sardinas-en-tomate, semola-y-almorta, sobaos-tortas-y-gofres, sopa-de-verdura, sopas-de-aves-y-carne, sopas-y-caldos, surtidos-y-especialidad, te-y-roiboos, tomate-entero-y-troceado, tomate-frito, tomate-frito-salsas-y-especias, tomate-natural-triturado, tortillas-de-patata-bravas-y-croquetas, ver-todo, vinagre-balsamico, vinagre-de-manzana, vinagre-de-vino-y-de-jerez, vinagres",2.49
Fresón bandeja 500g,"aceite-de-girasol, aceite-de-oliva, aceite-de-oliva-virgen-y-virgen-extra, aceite-vinagre-y-sal, aceites, aceitunas-alinadas, aceitunas-negras, aceitunas-rellenas, aceitunas-verdes---manzanilla, aceitunas-y-encurtidos, ajo-perejil-y-oregano, albondigas, alimentacion-saludable, alubias-y-fabada-cocidas, aperitivos-y-frutos-secos, arroces-pastas-y-legumbres, arroz, arroz-pasta-noodles, arroz-precocinado, atun-en-aceite-de-oliva, atun-en-aceite-girasol, atun-en-escabeche, atun-natural, azafran-y-pimenton, azucar-blanco, azucar-moreno-y-de-cana, azucar-y-edulcorantes, barritas-de-cereales, berberechos-navajas-y-zamburinas, berlinas-de-chocolate-y-glaseadas, bizcochos-1, bizcochos-2, bolleria-de-horno, bolleria-infantil, bolleria-y-reposteria, bonito-en-aceite, bonito-en-escabeche, bonito-y-ventresca, brioche-y-pan-de-leche, cacao, cacao-cafes-e-infusiones, cacao-en-polvo, cafe-descafeinado, cafe-en-grano, cafe-molido, cafe-soluble-y-otras-bebidas, cafes, caldo-de-pescado, caldo-de-pollo-y-carne, caldo-de-verdura, caldo-para-paella-y-fideua, caldos-pures-y-sopas, capsulas-de-cafe, caramelo-liquido, cereales, cereales-con-chocolate, cereales-con-miel, cereales-corn-flakes, cereales-infantiles, cereales-integrales-avena-y-muesli, cereales-sin-azucar, cereales-sin-gluten, champinones-y-setas, chicles, chocolate-a-la-taza, chocolate-blanco, chocolate-con-frutos-secos, chocolate-con-leche, chocolate-negro, chocolates-golosinas-y-turrones, comida-internacional, compota-y-macedonia, conservas-de-frutas, conservas-de-pescado, conservas-vegetales, control-de-peso, cremas-de-cacao-y-cacahuete, cremas-y-pures, cremas-y-pures-de-verdura, decoracion-para-reposteria, ensaimadas-napolitanas-y-rosquillas, espaguetis-y-pasta-larga, especialidades-quinoa-chia-y-semillas, fideos-y-pasta-para-sopas, fruta-en-almibar, frutos-secos, galletas, galletas-cereales-y-barritas, galletas-de-avena-e-integrales, galletas-de-mantequilla, galletas-infantiles, galletas-maria, galletas-rellenas, galletas-saladas, galletas-sin-azucar, galletas-sin-gluten, galletas-tostadas, garbanzos-cocidos, gazpacho-y-salmorejo, golosinas-sin-azucar, golosinas-y-regaliz, grano-largo, grano-redondo, harina-de-maiz, harina-de-trigo, harina-ecologica, harina-integral, harina-levadura-y-preparados, harina-para-reposteria, harina-sin-gluten, harinas-especiales, infusiones-digestivas, infusiones-funcionales, judias-verdes, lasana-y-pasta-laminada, lentejas-cocidas, levadura-y-polvo-para-hornear, macarrones-y-pasta-corta, maiz---kikos, maiz-guisantes-y-zanahoria, mate-y-tila, mejillones-en-escabeche, membrillo-cabello-de-angel-y-polen, menta-poleo, mermelada, mermelada-de-fresa, mermelada-de-melocoton, mermelada-de-naranja, mermelada-sin-azucar, mezclas-y-menestra, miel-milflores, miel-y-mermeladas, noodles-preparados, nutricion-deportiva, otras-conservas-de-pescado, otras-especias-y-sazonadores, otras-mermeladas, otras-mieles, otras-salsas, otras-verduras, otros-aceites, otros-aderezos, otros-encurtidos, otros-frutos-secos, otros-ingredientes-para-reposteria, otros-platos-preparados-de-carne, otros-sabores, palitos-de-pan, palmeras-y-hojaldres, pan-de-baguette, pan-de-hogaza, pan-de-horno, pan-de-molde, pan-de-molde-artesano-y-rustico, pan-de-molde-blanco, pan-de-molde-integral, pan-de-molde-multicereales-y-semillas, pan-de-picos-y-colines, pan-hamburguesa-tortillas-wrap-y-pan-de-perritos, pan-precocinado, pan-rallado, pan-tostado, pan-tostado-y-biscotes, pasta-al-huevo-y-nidos, pasta-ecologica, pasta-fresca-y-rellena, pasta-integral-y-sin-gluten, pasta-vegetal-y-especiales, pastillas-para-caldo, patatas-fritas, pizzas-y-masas, platos-preparados, platos-preparados-de-arroz, platos-preparados-de-pasta, productos-dieteticos, productos-ecologicos, pure-de-patata, roscones-y-troncos, sacarina-stevia-y-otros-edulcorantes, sal-de-frutas-y-bicarbonato, salsas-barbacoa-y-para-carne, salsas-para-ensalada, salsas-para-pasta, salsas-picantes, sandwich-wraps-y-roscas, sardinas-en-aceite, sardinas-en-escabeche, sardinas-en-tomate, semola-y-almorta, sobaos-tortas-y-gofres, sopa-de-verdura, sopas-de-aves-y-carne, sopas-y-caldos, surtidos-y-especialidad, te-y-roiboos, tomate-entero-y-troceado, tomate-frito, tomate-frito-salsas-y-especias, tomate-natural-triturado, tortillas-de-patata-bravas-y-croquetas, ver-todo, vinagre-balsamico, vinagre-de-manzana, vinagre-de-vino-y-de-jerez, vinagres",3.59
"Friegasuelos Lanta 1,5l Flor de cerezo","aceite-de-girasol, aceite-de-oliva, aceite-de-oliva-virgen-y-virgen-extra, aceite-vinagre-y-sal, aceites, aceitunas-alinadas, aceitunas-negras, aceitunas-rellenas, aceitunas-verdes---manzanilla, aceitunas-y-encurtidos, ajo-perejil-y-oregano, albondigas, alimentacion-saludable, alubias-y-fabada-cocidas, aperitivos-y-frutos-secos, arroces-pastas-y-legumbres, arroz, arroz-pasta-noodles, arroz-precocinado, atun-en-aceite-de-oliva, atun-en-aceite-girasol, atun-en-escabeche, atun-natural, azafran-y-pimenton, azucar-blanco, azucar-moreno-y-de-cana, azucar-y-edulcorantes, barritas-de-cereales, berberechos-navajas-y-zamburinas, berlinas-de-chocolate-y-glaseadas, bizcochos-1, bizcochos-2, bolleria-de-horno, bolleria-infantil, bolleria-y-reposteria, bonito-en-aceite, bonito-en-escabeche, bonito-y-ventresca, brioche-y-pan-de-leche, cacao, cacao-cafes-e-infusiones, cacao-en-polvo, cafe-descafeinado, cafe-en-grano, cafe-molido, cafe-soluble-y-otras-bebidas, cafes, caldo-de-pescado, caldo-de-pollo-y-carne, caldo-de-verdura, caldo-para-paella-y-fideua, caldos-pures-y-sopas, capsulas-de-cafe, caramelo-liquido, cereales, cereales-con-chocolate, cereales-con-miel, cereales-corn-flakes, cereales-infantiles, cereales-integrales-avena-y-muesli, cereales-sin-azucar, cereales-sin-gluten, champinones-y-setas, chicles, chocolate-a-la-taza, chocolate-blanco, chocolate-con-frutos-secos, chocolate-con-leche, chocolate-negro, chocolates-golosinas-y-turrones, comida-internacional, compota-y-macedonia, conservas-de-frutas, conservas-de-pescado, conservas-vegetales, control-de-peso, cremas-de-cacao-y-cacahuete, cremas-y-pures, cremas-y-pures-de-verdura, decoracion-para-reposteria, ensaimadas-napolitanas-y-rosquillas, espaguetis-y-pasta-larga, especialidades-quinoa-chia-y-semillas, fideos-y-pasta-para-sopas, fruta-en-almibar, frutos-secos, galletas, galletas-cereales-y-barritas, galletas-de-avena-e-integrales, galletas-de-mantequilla, galletas-infantiles, galletas-maria, galletas-rellenas, galletas-saladas, galletas-sin-azucar, galletas-sin-gluten, galletas-tostadas, garbanzos-cocidos, gazpacho-y-salmorejo, golosinas-sin-azucar, golosinas-y-regaliz, grano-largo, grano-redondo, harina-de-maiz, harina-de-trigo, harina-ecologica, harina-integral, harina-levadura-y-preparados, harina-para-reposteria, harina-sin-gluten, harinas-especiales, infusiones-digestivas, infusiones-funcionales, judias-verdes, lasana-y-pasta-laminada, lentejas-cocidas, levadura-y-polvo-para-hornear, macarrones-y-pasta-corta, maiz---kikos, maiz-guisantes-y-zanahoria, mate-y-tila, mejillones-en-escabeche, membrillo-cabello-de-angel-y-polen, menta-poleo, mermelada, mermelada-de-fresa, mermelada-de-melocoton, mermelada-de-naranja, mermelada-sin-azucar, mezclas-y-menestra, miel-milflores, miel-y-mermeladas, noodles-preparados, nutricion-deportiva, otras-conservas-de-pescado, otras-especias-y-sazonadores, otras-mermeladas, otras-mieles, otras-salsas, otras-verduras, otros-aceites, otros-aderezos, otros-encurtidos, otros-frutos-secos, otros-ingredientes-para-reposteria, otros-platos-preparados-de-carne, otros-sabores, palitos-de-pan, palmeras-y-hojaldres, pan-de-baguette, pan-de-hogaza, pan-de-horno, pan-de-molde, pan-de-molde-artesano-y-rustico, pan-de-molde-blanco, pan-de-molde-integral, pan-de-molde-multicereales-y-semillas, pan-de-picos-y-colines, pan-hamburguesa-tortillas-wrap-y-pan-de-perritos, pan-precocinado, pan-rallado, pan-tostado, pan-tostado-y-biscotes, pasta-al-huevo-y-nidos, pasta-ecologica, pasta-fresca-y-rellena, pasta-integral-y-sin-gluten, pasta-vegetal-y-especiales, pastillas-para-caldo, patatas-fritas, pizzas-y-masas, platos-preparados, platos-preparados-de-arroz, platos-preparados-de-pasta, productos-dieteticos, productos-ecologicos, pure-de-patata, roscones-y-troncos, sacarina-stevia-y-otros-edulcorantes, sal-de-frutas-y-bicarbonato, salsas-barbacoa-y-para-carne, salsas-para-ensalada, salsas-para-pasta, salsas-picantes, sandwich-wraps-y-roscas, sardinas-en-aceite, sardinas-en-escabeche, sardinas-en-tomate, semola-y-almorta, sobaos-tortas-y-gofres, sopa-de-verdura, sopas-de-aves-y-carne, sopas-y-caldos, surtidos-y-especialidad, te-y-roiboos, tomate-entero-y-troceado, tomate-frito, tomate-frito-salsas-y-especias, tomate-natural-triturado, tortillas-de-patata-bravas-y-croquetas, ver-todo, vinagre-balsamico, vinagre-de-manzana, vinagre-de-vino-y-de-jerez, vinagres",0.95
Frijoles negros enteros La costeña 560g,judias,3.4
Frijoles negros guisados Goya 425G,legumbres,2.19
Frijoles negros refritos Costeña 580g,"judias, legumbres",2.75
Frijoles rojos pequeños guisados Goya 425g,legumbres,2.19
Frutos secos mix Tijuana Grefusa 145g,coctel,1.99
Fuet espetec Casa Tarradellas pack 2 uds de 180g,"aceite-de-girasol, aceite-de-oliva, aceite-de-oliva-virgen-y-virgen-extra, aceite-vinagre-y-sal, aceites, aceitunas-alinadas, aceitunas-negras, aceitunas-rellenas, aceitunas-verdes---manzanilla, aceitunas-y-encurtidos, ajo-perejil-y-oregano, albondigas, alimentacion-saludable, alubias-y-fabada-cocidas, aperitivos-y-frutos-secos, arroces-pastas-y-legumbres, arroz, arroz-pasta-noodles, arroz-precocinado, atun-en-aceite-de-oliva, atun-en-aceite-girasol, atun-en-escabeche, atun-natural, azafran-y-pimenton, azucar-blanco, azucar-moreno-y-de-cana, azucar-y-edulcorantes, barritas-de-cereales, berberechos-navajas-y-zamburinas, berlinas-de-chocolate-y-glaseadas, bizcochos-1, bizcochos-2, bolleria-de-horno, bolleria-infantil, bolleria-y-reposteria, bonito-en-aceite, bonito-en-escabeche, bonito-y-ventresca, brioche-y-pan-de-leche, cacao, cacao-cafes-e-infusiones, cacao-en-polvo, cafe-descafeinado, cafe-en-grano, cafe-molido, cafe-soluble-y-otras-bebidas, cafes, caldo-de-pescado, caldo-de-pollo-y-carne, caldo-de-verdura, caldo-para-paella-y-fideua, caldos-pures-y-sopas, capsulas-de-cafe, caramelo-liquido, cereales, cereales-con-chocolate, cereales-con-miel, cereales-corn-flakes, cereales-infantiles, cereales-integrales-avena-y-muesli, cereales-sin-azucar, cereales-sin-gluten, champinones-y-setas, chicles, chocolate-a-la-taza, chocolate-blanco, chocolate-con-frutos-secos, chocolate-con-leche, chocolate-negro, chocolates-golosinas-y-turrones, comida-internacional, compota-y-macedonia, conservas-de-frutas, conservas-de-pescado, conservas-vegetales, control-de-peso, cremas-de-cacao-y-cacahuete, cremas-y-pures, cremas-y-pures-de-verdura, decoracion-para-reposteria, ensaimadas-napolitanas-y-rosquillas, espaguetis-y-pasta-larga, especialidades-quinoa-chia-y-semillas, fideos-y-pasta-para-sopas, fruta-en-almibar, frutos-secos, galletas, galletas-cereales-y-barritas, galletas-de-avena-e-integrales, galletas-de-mantequilla, galletas-infantiles, galletas-maria, galletas-rellenas, galletas-saladas, galletas-sin-azucar, galletas-sin-gluten, galletas-tostadas, garbanzos-cocidos, gazpacho-y-salmorejo, golosinas-sin-azucar, golosinas-y-regaliz, grano-largo, grano-redondo, harina-de-maiz, harina-de-trigo, harina-ecologica, harina-integral, harina-levadura-y-preparados, harina-para-reposteria, harina-sin-gluten, harinas-especiales, infusiones-digestivas, infusiones-funcionales, judias-verdes, lasana-y-pasta-laminada, lentejas-cocidas, levadura-y-polvo-para-hornear, macarrones-y-pasta-corta, maiz---kikos, maiz-guisantes-y-zanahoria, mate-y-tila, mejillones-en-escabeche, membrillo-cabello-de-angel-y-polen, menta-poleo, mermelada, mermelada-de-fresa, mermelada-de-melocoton, mermelada-de-naranja, mermelada-sin-azucar, mezclas-y-menestra, miel-milflores, miel-y-mermeladas, noodles-preparados, nutricion-deportiva, otras-conservas-de-pescado, otras-especias-y-sazonadores, otras-mermeladas, otras-mieles, otras-salsas, otras-verduras, otros-aceites, otros-aderezos, otros-encurtidos, otros-frutos-secos, otros-ingredientes-para-reposteria, otros-platos-preparados-de-carne, otros-sabores, palitos-de-pan, palmeras-y-hojaldres, pan-de-baguette, pan-de-hogaza, pan-de-horno, pan-de-molde, pan-de-molde-artesano-y-rustico, pan-de-molde-blanco, pan-de-molde-integral, pan-de-molde-multicereales-y-semillas, pan-de-picos-y-colines, pan-hamburguesa-tortillas-wrap-y-pan-de-perritos, pan-precocinado, pan-rallado, pan-tostado, pan-tostado-y-biscotes, pasta-al-huevo-y-nidos, pasta-ecologica, pasta-fresca-y-rellena, pasta-integral-y-sin-gluten, pasta-vegetal-y-especiales, pastillas-para-caldo, patatas-fritas, pizzas-y-masas, platos-preparados, platos-preparados-de-arroz, platos-preparados-de-pasta, productos-dieteticos, productos-ecologicos, pure-de-patata, roscones-y-troncos, sacarina-stevia-y-otros-edulcorantes, sal-de-frutas-y-bicarbonato, salsas-barbacoa-y-para-carne, salsas-para-ensalada, salsas-para-pasta, salsas-picantes, sandwich-wraps-y-roscas, sardinas-en-aceite, sardinas-en-escabeche, sardinas-en-tomate, semola-y-almorta, sobaos-tortas-y-gofres, sopa-de-verdura, sopas-de-aves-y-carne, sopas-y-caldos, surtidos-y-especialidad, te-y-roiboos, tomate-entero-y-troceado, tomate-frito, tomate-frito-salsas-y-especias, tomate-natural-triturado, tortillas-de-patata-bravas-y-croquetas, ver-todo, vinagre-balsamico, vinagre-de-manzana, vinagre-de-vino-y-de-jerez, vinagres",4.97
Gachas delicias Eladio 500g,carne,3.85
Galleta Alipende 225g cookies con pepitas de chocolate,alimentacion,1.6
Galleta Alipende 600g con dibujos de animales,alimentacion,1.5
Galleta Alipende 700g clásica,alimentacion,1.51
Galleta Alipende 800g tostada,alimentacion,1.4
Galleta Calabaza Halloween Dulcivapa 130gr,chocolatinas,2.5
Galleta Dinosaurus artiach 329g,alimentacion,2.89
Galleta Gullón 800g creme tropical,alimentacion,3.45
Galleta La Buena María Fontaneda 707g,alimentacion,3.35
Galleta Oreo 160g mini,alimentacion,1.95
Galleta Tostarica Cuétara 760g,alimentacion,3.99
Galleta barquillo de chocolate negro Fontaneda 92g,barquillos,1.8
Galleta de barquillo artinata 210g,barquillos,2.2
Galleta de chocolate Príncipe pack-3,alimentacion,5.85
Galleta de helado Rume 85g,barquillos,0.7
Galleta digestive Alipende 425g avena,alimentacion,1.0
Galleta digestive Alipende 800g,alimentacion,1.6
Galleta digestive Fontaneda 700g,alimentacion,3.19
Galleta digestive zero sin azúcares Gullón 300g + 100g,alimentacion,1.75
Galleta fina barquilllo de chocolate con leche Fontaneda 92g,barquillos,1.8
Galleta maria Alipende 800g dorada,alimentacion,1.4
Galleta maría Alipende 800g,alimentacion,1.4
Galleta maría Alipende 800g integral,alimentacion,1.4
Galleta sin azúcar añadido zero Gullón 170g fibra,alimentacion,2.05
Galleta sin azúcar añadido zero Gullón 400g maría,alimentacion,2.5
Galletas campurrianas Cuétara 755g,alimentacion,3.99
Galletas de barquillo Family pack Napolitaner Loacker 90gr,barquillos,1.6
Galletas de chocolate Alipende 500g,alimentacion,1.3
Galletas de chocolate con leche digestive Alipende 300g,alimentacion,1.4
Galletas saladas Alipende 350g,alimentacion,1.2
